name,float,purchase price,sell price,gross income,net income,total income
专业手套-渐变大理石,久经沙场,2835,2880,2880,45,7296.29
m4a1-印花集,崭新出厂,3370.9,3375,3375,4.1,7300.39
双持贝瑞塔-血红蛋白,崭新出厂,52.99,55,55,2.01,7302.4
awp-黑色魅影,崭新出厂,202,205,205,3,7305.4
尼泊尔-表面淬火,略有磨损,4600,4000,3900,-700,6605.4
r8-渐变之色,久经沙场,46,46.9,46.9,0.9,6606.3
法玛斯-奈芙蒂斯之河,崭新出厂,464.98,494.46,484.5708,19.59,6625.89
沙漠之鹰-沙漠之狐,崭新出厂,2610,2629,2629,19,6644.89
sg553-电子脉冲,略有磨损,39.1,39,39,-0.1,6644.79
awp-镀铬大炮,久经沙场,330,315,315,-15,6629.79
沙漠之鹰-沙漠之狐,崭新出厂,2458,2459,2459,1,6630.79
沙漠之鹰-沙漠之狐,久经沙场,1095,1102,1102,7,6637.79
名称标签,,9.46,0,0,-9.46,6628.33
沙漠之鹰-沙漠之狐,久经沙场,1299,1310,1310,11,6639.33
tec9-屠杀者,久经沙场,73.02,80.12,78.5176,5.5,6644.83
沙漠之鹰-沙漠之狐,崭新出厂,2480,2469,2469,-11,6633.83
mp9-星使,略有磨损,40.6,40.3,40.3,-0.3,6633.53
摩托手套-薄荷,久经沙场,14160,14100,13747,-413,6220.53
尼泊尔-表面淬火,久经沙场,7050,7200,7200,150,6370.53
名称标签,,9.3,0,0,-9.3,6361.23
沙漠之鹰-沙漠之狐,久经沙场,1082.13,1132.52,1109.8794,27.75,6388.98
摩托手套-清凉薄荷,久经沙场,2640,2650,2623.5,-16.5,6372.48
沙漠之鹰-沙漠之狐,久经沙场,1125.28,1134,1132,6.72,6379.2
沙漠之鹰-沙漠之狐,崭新出厂,2550,2610,2610,60,6439.2
摩托手套-薄荷,战痕累累,2960,3040,2964,4,6443.2
沙漠之鹰-沙漠之狐,崭新出厂,2370,2400,2400,30,6473.2
沙漠之鹰-炽烈之炎,崭新出厂,3900,3900,3900,0,6473.2
沙漠之鹰-沙漠之狐,久经沙场,1080,1120,1120,40,6513.2
mp9-星使,久经沙场,17.9,19.1,19.1,1.2,6514.4
mac-10-潜行者,久经沙场,71.9,78,78,6.1,6520.5
名称标签,,9.44,0,0,-9.44,6511.06
沙漠之鹰-沙漠之狐,崭新出厂,2390,2440,2440,50,6561.06
沙漠之鹰-沙漠之狐,略有磨损,1573,1585,1585,12,6573.06
加利尔-彩虹勺,崭新出厂,439,465,465,26,6599.06
fn57-表面淬火,久经沙场,68,68,68,0,6599.06
p90-喵之萌杀,久经沙场,194,210,210,16,6615.06
法玛斯-奈芙蒂斯之河,崭新出厂,466,473,473,7,6622.06
p250-震中,崭新出厂,123,135,135,12,6634.06
awp-九头金蛇,战痕累累,8118,8431,8262.38,144.38,6778.44
沙漠之鹰-沙漠之狐,久经沙场,1100,1158,1134.84,34.84,6813.28
摩托手套-清凉薄荷,久经沙场,3650,3720,3682.8,32.8,6846.08
法玛斯-奈芙蒂斯之河,崭新出厂,465,530,530,65,6911.08
加利尔-彩虹勺,崭新出厂,455,477,477,22,6933.08
awp-九头金蛇,久经沙场,10245,10654,10654,409,7342.08
p250-阿佩普之咒,崭新出厂,420,435,424.12,4.12,7346.2
挂件-k金t,,264,270.57,264.6,0.6,7346.8
沙漠之鹰-沙漠之狐,崭新出厂,2500,2525,2525,25,7371.8
fn57-怒氓,久经沙场,19.27,20.8,20.8,1.53,7373.33
沙漠之鹰-沙漠之狐,崭新出厂,3199,3510,3545,346,7719.33
印花-落日海洋*5,,165,0,0,-165,7554.33
名称标签,,10.22,0,0,-10.22,7544.11
专业手套-渐变大理石,略有磨损,5180,5180,5231.8,51.8,7595.91
加利尔-彩虹勺,久经沙场 ,324,320,320,-4,7591.91
awp-镀铬大炮,久经沙场,298.4,285,285,-13.4,7578.51
刺刀-渐变大理石,崭新出厂,4080,4170,4065.75,-14.25,7564.26
专业手套-渐变之色,久经沙场,4170,4250,4207.5,37.5,7601.76
专业手套-深红之网,久经沙场,1670,1680,1680,10,7611.76
p250-震中,久经沙场,49.8,54,54,4.2,7615.96
m4a4-皇家圣骑士,崭新出厂,495,489,489,-6,7609.96
名称标签,,10.5,0,0,-10.5,7599.46
专业手套-渐变之色,略有磨损,7006.2,7193,7193,186.8,7786.26
挂件-k金t,,233.3,231,231,-2.3,7783.96
专业手套-深红之网,久经沙场,2440,2530,2466.75,26.75,7810.71
摩托手套-日蚀,久经沙场,1042,1075,1075,33,7843.71
名称标签,,10.9,0,0,-10.9,7832.81
